Product ID,Category,Sub-Category,Product Name,Product Price
FUR-ADV-10000002,Furniture,Furnishings,"Advantus Photo Frame, Duo Pack",49.4975
FUR-ADV-10000108,Furniture,Furnishings,"Advantus Clock, Erganomic",46.62166666666667
FUR-ADV-10000183,Furniture,Furnishings,"Advantus Photo Frame, Black",39.263958333333335
FUR-ADV-10000188,Furniture,Furnishings,"Advantus Stacking Tray, Erganomic",17.975
FUR-ADV-10000190,Furniture,Furnishings,"Advantus Frame, Duo Pack",94.825
FUR-ADV-10000571,Furniture,Furnishings,"Advantus Frame, Erganomic",97.37625
FUR-ADV-10000600,Furniture,Furnishings,"Advantus Clock, Duo Pack",43.157500000000006
FUR-ADV-10000847,Furniture,Furnishings,"Advantus Stacking Tray, Black",23.365333333333332
FUR-ADV-10001283,Furniture,Furnishings,"Advantus Frame, Black",72.90428571428572
FUR-ADV-10001440,Furniture,Furnishings,"Advantus Door Stop, Black",36.91024659863946
FUR-ADV-10001659,Furniture,Furnishings,"Advantus Light Bulb, Durable",13.260952380952382
FUR-ADV-10001855,Furniture,Furnishings,"Advantus Stacking Tray, Durable",21.57
FUR-ADV-10002329,Furniture,Furnishings,"Advantus Light Bulb, Erganomic",12.376666666666667
FUR-ADV-10002601,Furniture,Furnishings,"Advantus Photo Frame, Erganomic",42.770428571428575
FUR-ADV-10002632,Furniture,Furnishings,"Advantus Door Stop, Duo Pack",27.326666666666668
FUR-ADV-10002889,Furniture,Furnishings,"Advantus Clock, Durable",41.14559523809523
FUR-ADV-10003147,Furniture,Furnishings,"Advantus Stacking Tray, Erganomic",20.546
FUR-ADV-10003326,Furniture,Furnishings,"Advantus Light Bulb, Black",14.279404761904763
FUR-ADV-10004159,Furniture,Furnishings,"Advantus Frame, Durable",58.53373015873017
FUR-ADV-10004223,Furniture,Furnishings,"Advantus Clock, Black",32.83857142857143
FUR-ADV-10004395,Furniture,Furnishings,"Advantus Door Stop, Durable",30.241761904761905
FUR-ADV-10004499,Furniture,Furnishings,"Advantus Photo Frame, Durable",45.32666666666666
FUR-ADV-10004718,Furniture,Furnishings,"Advantus Light Bulb, Duo Pack",13.943714285714284
FUR-ADV-10004971,Furniture,Furnishings,"Advantus Door Stop, Erganomic",38.480625
FUR-BAR-10000560,Furniture,Tables,"Barricks Round Table, with Bottom Storage",464.215
FUR-BAR-10000831,Furniture,Tables,"Barricks Training Table, Fully Assembled",310.58
FUR-BAR-10000946,Furniture,Tables,"Barricks Computer Table, with Bottom Storage",439.83666666666664
FUR-BAR-10001039,Furniture,Tables,"Barricks Coffee Table, Fully Assembled",137.79309523809525
