Order ID,Sales,Profit
AE-2011-9160-PO-8865,176.4249761904762,-246.0780000000001
AE-2013-1130-EB-4110,242.1522142857143,-236.964
AE-2013-1530-MY-7380,16.45410119047619,-38.07599999999999
AE-2014-2840-PG-8820,86.77188520408163,-75.06
AE-2014-3830-GH-4665,219.8119596938776,-429.1079999999999
AE-2014-4120-JD-5790,5.629750000000001,-11.574
AG-2011-1070-TH-11235,299.275,61.71000000000001
AG-2011-1390-DH-3675,546.8953015873016,222.48
AG-2011-1440-DB-3210,48.4497619047619,20.52
AG-2011-2040-TB-11280,574.9472916666667,106.14
AG-2011-3090-AH-210,237.530612244898,11.03999999999999
AG-2011-3130-AJ-780,25.92464285714286,7.170000000000002
AG-2011-380-CC-2370,99.9625,29.43000000000001
AG-2011-4410-JH-5985,26.39428571428571,10.86
AG-2011-4450-RS-9765,13.7715625,4.08
AG-2011-450-BC-1125,10.735,4.14
AG-2011-4560-EG-3900,1386.375833333333,86.78999999999996
AG-2011-500-AS-285,48.95855311355311,15.36
AG-2011-60-TT-11070,9.325000000000001,4.26
AG-2011-7230-AC-420,82.55107142857142,14.58
AG-2011-7710-BM-1785,875.346875,148.6800000000001
AG-2011-8180-RO-9780,1543.813095238095,331.71
AG-2011-8390-MW-8220,52.486,19.32
AG-2011-8930-MW-8220,101.5965476190476,27.84
AG-2011-9060-OT-8730,196.53375,29.69999999999999
AG-2011-9610-AA-645,206.9155102040816,53.75999999999999
AG-2011-9670-DK-2835,1510.874,349.5599999999999
AG-2011-9890-BM-1785,447.6630753968254,177.18
AG-2012-170-PF-9165,164.4857738095238,42.0
AG-2012-1940-BP-1230,308.2616428571429,96.57
AG-2012-2200-TS-11505,1208.328333333333,506.52
AG-2012-2220-MV-8190,64.5975,20.43
AG-2012-2220-PO-8865,1925.925454545455,191.25
AG-2012-2430-CC-2430,139.2782738095238,61.16999999999999
AG-2012-3190-SZ-10035,382.41,11.10000000000002
AG-2012-4060-LM-7065,522.5559219104308,174.96
AG-2012-4630-CP-2340,2208.011590367965,632.79
AG-2012-4750-LM-7065,279.7125,28.38
AG-2012-4910-KF-6285,93.01915343915344,23.79000000000001
AG-2012-5400-RB-9570,235.2240753968254,102.33
AG-2012-6020-DC-3285,306.5281818181818,98.85
AG-2012-6390-GH-4410,15.41916666666667,3.15
AG-2012-7530-AA-480,98.59860714285713,8.789999999999992
AG-2012-8490-LC-7050,688.2056892551892,210.54
AG-2012-8660-MP-7470,14.94297619047619,5.43
AG-2013-2580-KE-6420,109.6766666666667,17.7
AG-2013-2690-CP-2085,94.9811044973545,14.09999999999999
AG-2013-2840-CS-1860,128.7342857142857,42.53999999999999
AG-2013-2970-CM-2160,38.2375,10.32
AG-2013-3970-RD-9585,20.08785714285714,6.539999999999999
AG-2013-4150-DB-3270,601.6868163377193,135.75
AG-2013-5140-HF-4995,256.4115306122449,96.72000000000003
AG-2013-5250-AG-765,151.0614682539683,4.97999999999999
AG-2013-5570-AH-75,108.4328930461073,46.8
AG-2013-5820-ES-4080,170.8345,21.38999999999999
AG-2013-6090-RD-9585,54.9227591442374,21.03
AG-2013-640-BO-1425,88.59836580086579,9.870000000000005
AG-2013-6520-ML-7395,131.8042307256236,70.08
AG-2013-6630-LW-7125,451.517037037037,178.74
AG-2013-6810-NF-8595,1804.557291666667,282.3
AG-2013-7890-DJ-3510,887.405,399.36
